acc,agent,n_alt,seed
0.1689485069097332,S0-L0,0,0
0.18046413425324112,S1-L0,0,0
0.21602805384819074,S0-L_alt,1,0
0.2330829395272396,S0-L_alt,2,0
0.24906143309439666,S0-L_alt,3,0
0.25623945646903323,S0-L_alt,4,0
0.2698467815624864,S0-L_alt,5,0
0.30026189435166456,S0-L_alt,10,0
0.3526349036400592,S0-L_alt,50,0
0.3736771905317152,S0-L_alt,100,0
0.4034222810470938,S1-L1,126,0
0.166040131787482,S0-L0,0,1
0.17929950602297404,S1-L0,0,1
0.21632753758939355,S0-L_alt,1,1
0.2344104716032341,S0-L_alt,2,1
0.25163234063586243,S0-L_alt,3,1
0.25978884341802194,S0-L_alt,4,1
0.26672947783272904,S0-L_alt,5,1
0.2959966689976376,S0-L_alt,10,1
0.34959209360702637,S0-L_alt,50,1
0.3689335379173411,S0-L_alt,100,1
0.3884317870016018,S1-L1,126,1
0.2064605003291639,S0-L0,0,2
0.21465835240599176,S1-L0,0,2
0.2698983265498109,S0-L_alt,1,2
0.30038290294790043,S0-L_alt,2,2
0.31889423900355984,S0-L_alt,3,2
0.33583623690595266,S0-L_alt,4,2
0.34245602778857487,S0-L_alt,5,2
0.3840976421315699,S0-L_alt,10,2
0.4541006716200579,S0-L_alt,50,2
0.47712538399997534,S0-L_alt,100,2
0.5138821173248753,S1-L1,126,2
0.20412110062663058,S0-L0,0,3
0.21182538437734053,S1-L0,0,3
0.254429087574576,S0-L_alt,1,3
0.2764571797028993,S0-L_alt,2,3
0.29576376745586386,S0-L_alt,3,3
0.31042557297780604,S0-L_alt,4,3
0.3255982575696457,S0-L_alt,5,3
0.36119631447067596,S0-L_alt,10,3
0.4628781882659551,S0-L_alt,50,3
0.49203979318428637,S0-L_alt,100,3
0.5372984414559778,S1-L1,126,3
0.17119295954941116,S0-L0,0,4
0.1855739064565365,S1-L0,0,4
0.22354009138796715,S0-L_alt,1,4
0.2434256655263762,S0-L_alt,2,4
0.2582877752563211,S0-L_alt,3,4
0.27027468538420396,S0-L_alt,4,4
0.28217557670553256,S0-L_alt,5,4
0.3016192078021648,S0-L_alt,10,4
0.3744765964490205,S0-L_alt,50,4
0.39724499487208836,S0-L_alt,100,4
0.4268936728999839,S1-L1,126,4
0.15230510824727414,S0-L0,0,5
0.15887144964701513,S1-L0,0,5
0.1889387042106235,S0-L_alt,1,5
0.2067650213087815,S0-L_alt,2,5
0.2183198692157654,S0-L_alt,3,5
0.22687897750574249,S0-L_alt,4,5
0.23625121397630772,S0-L_alt,5,5
0.2664310789038652,S0-L_alt,10,5
0.3163843493236394,S0-L_alt,50,5
0.32984831271899395,S0-L_alt,100,5
0.35101910526682234,S1-L1,126,5
0.17053070916538662,S0-L0,0,6
0.1743554479563223,S1-L0,0,6
0.2210138732384921,S0-L_alt,1,6
0.25020423549215176,S0-L_alt,2,6
0.2743797815775496,S0-L_alt,3,6
0.28873863147724,S0-L_alt,4,6
0.3014763709342162,S0-L_alt,5,6
0.34478614633947247,S0-L_alt,10,6
0.4254825069137225,S0-L_alt,50,6
0.45218317395267316,S0-L_alt,100,6
0.4814119378956459,S1-L1,126,6
0.14106903780754906,S0-L0,0,7
0.14690038714963502,S1-L0,0,7
0.18059133502984964,S0-L_alt,1,7
0.19898927783187387,S0-L_alt,2,7
0.21287295383312116,S0-L_alt,3,7
0.22732534594411613,S0-L_alt,4,7
0.23526141412900842,S0-L_alt,5,7
0.2718581852686027,S0-L_alt,10,7
0.35501258813312053,S0-L_alt,50,7
0.38670277827639377,S0-L_alt,100,7
0.4176144742008359,S1-L1,126,7
0.15479666003905637,S0-L0,0,8
0.16982224078920613,S1-L0,0,8
0.20367555586288147,S0-L_alt,1,8
0.2214769420572448,S0-L_alt,2,8
0.23245963747733295,S0-L_alt,3,8
0.24303955461787002,S0-L_alt,4,8
0.2516178390287761,S0-L_alt,5,8
0.2733034371656833,S0-L_alt,10,8
0.32224975066120254,S0-L_alt,50,8
0.33824639833037445,S0-L_alt,100,8
0.3627728523909925,S1-L1,126,8
0.14422880282847003,S0-L0,0,9
0.1550990494964656,S1-L0,0,9
0.18397740890622963,S0-L_alt,1,9
0.1983278919824928,S0-L_alt,2,9
0.20812422828962837,S0-L_alt,3,9
0.21695307328785776,S0-L_alt,4,9
0.2233659108228597,S0-L_alt,5,9
0.2469617161298171,S0-L_alt,10,9
0.294457758140241,S0-L_alt,50,9
0.3089989272766617,S0-L_alt,100,9
0.33607049061576233,S1-L1,126,9
